AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.GroupName	 	
AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.Unit	 V	
AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.Scale	 Linear	
AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.Left	-0.05	
AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.Right	0.05	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.Name	 i2	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.GroupName	 	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.Unit	 A	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.Scale	 Linear	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.Bottom	-3.30E-11	
AnalysisSetup	 Analysis.Setup.Vector.Graph.YAxis.Top	1.60E-11	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Marker.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Marker.Index	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Marker.Step	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Cursor.Active	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX	0.5	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY	0.673469388	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Fix	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Type	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.LastStep	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX	0.5	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY	0.673469388	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX	0.5	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY	0.673469388	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line1.Gradient	 	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Fix	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Type	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.LastStep	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX	0.5	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY	0.673469388	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX	0.5	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY	0.673469388	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Operation.Line2.Gradient	 	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.BackgroundColor	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.TextColor	-16777216	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.GridColor	-3618616	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.LineColor	-65336	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor	-16777036	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor	-39936	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor	-16731136	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor	-8892376	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor	-65536	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor	-14336	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor	-6946586	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor	-16733546	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness	1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName	 Tahoma	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize	 Medium	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size	7	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName	 Tahoma	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize	 Medium	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size	7	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName	 Tahoma	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize	 Medium	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size	7	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount	6	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.LogoVisible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.GridVisible	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible	 false	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Notes	 	
AnalysisSetup	 Analysis.Setup.Vector.List.Datum.Name	 v1	 i1
AnalysisSetup	 Analysis.Setup.Vector.List.Datum.Unit	 V	 A
AnalysisSetup	 Analysis.Setup.Preference.GraphVisible	 true	
AnalysisSetup	 Analysis.Setup.Preference.ListVisible	 true	
AnalysisSetup	 Analysis.Setup.Preference.ScalarVisible	 true	
AnalysisSetup	 Analysis.Setup.Title	 Resistor	
Dimension1	21	21	21
Dimension2	1	1	1
DataName	 v1	 i1	 i2
DataValue	-0.05	-8.53E-08	8.72E-08
DataValue	-0.045	-7.50E-08	7.58E-08
DataValue	-0.04	-6.46E-08	6.83E-08
DataValue	-0.035	-5.67E-08	5.42E-08
DataValue	-0.03	-4.18E-08	4.24E-08
DataValue	-0.025	-3.20E-08	3.14E-08
DataValue	-0.02	-2.25E-08	2.09E-08
DataValue	-0.015	-1.09E-08	1.06E-08
DataValue	-0.01	1.91E-10	-5.13E-10
DataValue	-0.005	1.13E-08	-1.17E-08
DataValue	0	2.28E-08	-2.25E-08
DataValue	0.005	3.30E-08	-3.53E-08
DataValue	0.01	4.37E-08	-4.56E-08
DataValue	0.015	5.54E-08	-5.74E-08
DataValue	0.02	6.76E-08	-6.96E-08
DataValue	0.025	8.02E-08	-8.06E-08
DataValue	0.03	9.18E-08	-9.18E-08
DataValue	0.035	1.04E-07	-1.04E-07
DataValue	0.04	1.16E-07	-1.15E-07
DataValue	0.045	1.29E-07	-1.26E-07
DataValue	0.05	1.37E-07	-1.36E-07
