
SetupTitle, Rsheet
PrimitiveTest, I/V Sweep
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vprobe1, Vprobe2, Iin
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, V, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Rsheet
Dimension1, 21, 21, 21
Dimension2, 1, 1, 1
DataName, Iin, Vprobe1, Vprobe2
DataValue, -1E-05, -0.0040219999999999995, -0.003002
DataValue, -9E-06, -0.004018, -0.002578
DataValue, -8.0000000000000013E-06, -0.004016, -0.001846
DataValue, -7.0000000000000007E-06, -0.004012, -0.00188
DataValue, -6E-06, -0.004018, -0.00098399999999999985
DataValue, -5E-06, -0.0038659999999999996, -0.0023799999999999997
DataValue, -4.0000000000000007E-06, -0.00308, -0.00087199999999999995
DataValue, -3E-06, -0.002302, 0.000102
DataValue, -2.0000000000000003E-06, -0.001522, 0.00093399999999999993
DataValue, -1E-06, -0.000744, 0.00187
DataValue, 0, 3.4E-05, 0.0013239999999999999
DataValue, 1E-06, 0.00081399999999999994, 0.00229
DataValue, 2.0000000000000003E-06, 0.0015919999999999999, 0.0023799999999999997
DataValue, 3E-06, 0.0023639999999999998, 0.003842
DataValue, 4.0000000000000007E-06, 0.003142, 0.003528
DataValue, 5E-06, 0.003908, 0.004082
DataValue, 6E-06, 0.003934, 0.003862
DataValue, 7.0000000000000007E-06, 0.003934, 0.004484
DataValue, 8.0000000000000013E-06, 0.0039359999999999994, 0.003176
DataValue, 9E-06, 0.0039359999999999994, 0.003914
DataValue, 1E-05, 0.003934, 0.0035359999999999996
